Batsman,Opponent,Total Runs,Venue
AA Noffke,Kolkata Knight Riders,9,M Chinnaswamy Stadium
B Akhil,Kolkata Knight Riders,0,M Chinnaswamy Stadium
BB McCullum,Royal Challengers Bangalore,158,M Chinnaswamy Stadium
CL White,Kolkata Knight Riders,6,M Chinnaswamy Stadium
DJ Hussey,Royal Challengers Bangalore,12,M Chinnaswamy Stadium
JH Kallis,Kolkata Knight Riders,8,M Chinnaswamy Stadium
MV Boucher,Kolkata Knight Riders,7,M Chinnaswamy Stadium
Mohammad Hafeez,Royal Challengers Bangalore,5,M Chinnaswamy Stadium
P Kumar,Kolkata Knight Riders,18,M Chinnaswamy Stadium
R Dravid,Kolkata Knight Riders,2,M Chinnaswamy Stadium
RT Ponting,Royal Challengers Bangalore,20,M Chinnaswamy Stadium
SB Joshi,Kolkata Knight Riders,3,M Chinnaswamy Stadium
SC Ganguly,Royal Challengers Bangalore,10,M Chinnaswamy Stadium
V Kohli,Kolkata Knight Riders,1,M Chinnaswamy Stadium
W Jaffer,Kolkata Knight Riders,6,M Chinnaswamy Stadium
Z Khan,Kolkata Knight Riders,3,M Chinnaswamy Stadium
IK Pathan,Chennai Super Kings,3,"Punjab Cricket Association Stadium, Mohali"
JDP Oram,Kings XI Punjab,13,"Punjab Cricket Association Stadium, Mohali"
JR Hopes,Chennai Super Kings,71,"Punjab Cricket Association Stadium, Mohali"
K Goel,Chennai Super Kings,24,"Punjab Cricket Association Stadium, Mohali"
KC Sangakkara,Chennai Super Kings,54,"Punjab Cricket Association Stadium, Mohali"
MEK Hussey,Kings XI Punjab,116,"Punjab Cricket Association Stadium, Mohali"
ML Hayden,Kings XI Punjab,25,"Punjab Cricket Association Stadium, Mohali"
MS Dhoni,Kings XI Punjab,2,"Punjab Cricket Association Stadium, Mohali"
PA Patel,Kings XI Punjab,15,"Punjab Cricket Association Stadium, Mohali"
S Badrinath,Kings XI Punjab,31,"Punjab Cricket Association Stadium, Mohali"
SK Raina,Kings XI Punjab,32,"Punjab Cricket Association Stadium, Mohali"
SM Katich,Chennai Super Kings,21,"Punjab Cricket Association Stadium, Mohali"
Yuvraj Singh,Chennai Super Kings,23,"Punjab Cricket Association Stadium, Mohali"
D Salunkhe,Delhi Daredevils,26,Feroz Shah Kotla
DS Lehmann,Delhi Daredevils,1,Feroz Shah Kotla
G Gambhir,Rajasthan Royals,58,Feroz Shah Kotla
M Kaif,Delhi Daredevils,9,Feroz Shah Kotla
M Rawat,Delhi Daredevils,2,Feroz Shah Kotla
RA Jadeja,Delhi Daredevils,29,Feroz Shah Kotla
S Dhawan,Rajasthan Royals,52,Feroz Shah Kotla
SK Trivedi,Delhi Daredevils,3,Feroz Shah Kotla
SK Warne,Delhi Daredevils,14,Feroz Shah Kotla
SR Watson,Delhi Daredevils,21,Feroz Shah Kotla
T Kohli,Delhi Daredevils,7,Feroz Shah Kotla
V Sehwag,Rajasthan Royals,12,Feroz Shah Kotla
YK Pathan,Delhi Daredevils,10,Feroz Shah Kotla
AM Nayar,Royal Challengers Bangalore,20,Wankhede Stadium
B Akhil,Mumbai Indians,3,Wankhede Stadium
DJ Thornely,Royal Challengers Bangalore,0,Wankhede Stadium
Harbhajan Singh,Royal Challengers Bangalore,2,Wankhede Stadium
JH Kallis,Mumbai Indians,25,Wankhede Stadium
L Ronchi,Royal Challengers Bangalore,8,Wankhede Stadium
LRPL Taylor,Mumbai Indians,23,Wankhede Stadium
MV Boucher,Mumbai Indians,39,Wankhede Stadium
PR Shah,Royal Challengers Bangalore,19,Wankhede Stadium
R Dravid,Mumbai Indians,32,Wankhede Stadium
RV Uthappa,Royal Challengers Bangalore,48,Wankhede Stadium
S Chanderpaul,Mumbai Indians,16,Wankhede Stadium
SM Pollock,Royal Challengers Bangalore,28,Wankhede Stadium
ST Jayasuriya,Royal Challengers Bangalore,29,Wankhede Stadium
V Kohli,Mumbai Indians,23,Wankhede Stadium
A Symonds,Kolkata Knight Riders,32,Eden Gardens
AC Gilchrist,Kolkata Knight Riders,23,Eden Gardens
AS Yadav,Kolkata Knight Riders,10,Eden Gardens
BB McCullum,Deccan Chargers,5,Eden Gardens
DJ Hussey,Deccan Chargers,38,Eden Gardens
LR Shukla,Deccan Chargers,4,Eden Gardens
Mohammad Hafeez,Deccan Chargers,13,Eden Gardens
RG Sharma,Kolkata Knight Riders,0,Eden Gardens
RP Singh,Kolkata Knight Riders,1,Eden Gardens
RT Ponting,Deccan Chargers,0,Eden Gardens
SB Bangar,Kolkata Knight Riders,14,Eden Gardens
SB Styris,Kolkata Knight Riders,6,Eden Gardens
SC Ganguly,Deccan Chargers,14,Eden Gardens
VVS Laxman,Kolkata Knight Riders,0,Eden Gardens
WP Saha,Deccan Chargers,10,Eden Gardens
WPUJC Vaas,Kolkata Knight Riders,0,Eden Gardens
Y Venugopal Rao,Kolkata Knight Riders,14,Eden Gardens
B Lee,Rajasthan Royals,0,Sawai Mansingh Stadium
DPMD Jayawardene,Rajasthan Royals,2,Sawai Mansingh Stadium
DS Lehmann,Kings XI Punjab,17,Sawai Mansingh Stadium
IK Pathan,Rajasthan Royals,12,Sawai Mansingh Stadium
JR Hopes,Rajasthan Royals,16,Sawai Mansingh Stadium
K Goel,Rajasthan Royals,26,Sawai Mansingh Stadium
KC Sangakkara,Rajasthan Royals,20,Sawai Mansingh Stadium
Kamran Akmal,Kings XI Punjab,15,Sawai Mansingh Stadium
M Kaif,Kings XI Punjab,5,Sawai Mansingh Stadium
PP Chawla,Rajasthan Royals,24,Sawai Mansingh Stadium
RA Jadeja,Kings XI Punjab,36,Sawai Mansingh Stadium
S Sohal,Rajasthan Royals,4,Sawai Mansingh Stadium
SR Watson,Kings XI Punjab,76,Sawai Mansingh Stadium
WA Mota,Rajasthan Royals,1,Sawai Mansingh Stadium
YK Pathan,Kings XI Punjab,7,Sawai Mansingh Stadium
Yuvraj Singh,Rajasthan Royals,57,Sawai Mansingh Stadium
A Symonds,Delhi Daredevils,12,"Rajiv Gandhi International Stadium, Uppal"
AC Gilchrist,Delhi Daredevils,8,"Rajiv Gandhi International Stadium, Uppal"
AS Yadav,Delhi Daredevils,12,"Rajiv Gandhi International Stadium, Uppal"
G Gambhir,Deccan Chargers,12,"Rajiv Gandhi International Stadium, Uppal"
RG Sharma,Delhi Daredevils,66,"Rajiv Gandhi International Stadium, Uppal"
RP Singh,Delhi Daredevils,1,"Rajiv Gandhi International Stadium, Uppal"
S Dhawan,Deccan Chargers,25,"Rajiv Gandhi International Stadium, Uppal"
SB Bangar,Delhi Daredevils,8,"Rajiv Gandhi International Stadium, Uppal"
Shahid Afridi,Delhi Daredevils,2,"Rajiv Gandhi International Stadium, Uppal"
V Sehwag,Deccan Chargers,94,"Rajiv Gandhi International Stadium, Uppal"
VVS Laxman,Delhi Daredevils,2,"Rajiv Gandhi International Stadium, Uppal"
WPUJC Vaas,Delhi Daredevils,12,"Rajiv Gandhi International Stadium, Uppal"
Y Venugopal Rao,Delhi Daredevils,14,"Rajiv Gandhi International Stadium, Uppal"
A Nehra,Chennai Super Kings,1,"MA Chidambaram Stadium, Chepauk"
AM Nayar,Chennai Super Kings,45,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,Chennai Super Kings,24,"MA Chidambaram Stadium, Chepauk"
Harbhajan Singh,Chennai Super Kings,28,"MA Chidambaram Stadium, Chepauk"
JDP Oram,Mumbai Indians,5,"MA Chidambaram Stadium, Chepauk"
L Ronchi,Chennai Super Kings,2,"MA Chidambaram Stadium, Chepauk"
MA Khote,Chennai Super Kings,9,"MA Chidambaram Stadium, Chepauk"
MEK Hussey,Mumbai Indians,5,"MA Chidambaram Stadium, Chepauk"
ML Hayden,Mumbai Indians,81,"MA Chidambaram Stadium, Chepauk"
MS Dhoni,Mumbai Indians,30,"MA Chidambaram Stadium, Chepauk"
PA Patel,Mumbai Indians,14,"MA Chidambaram Stadium, Chepauk"
RV Uthappa,Chennai Super Kings,43,"MA Chidambaram Stadium, Chepauk"
S Badrinath,Mumbai Indians,2,"MA Chidambaram Stadium, Chepauk"
SK Raina,Mumbai Indians,53,"MA Chidambaram Stadium, Chepauk"
SM Pollock,Chennai Super Kings,17,"MA Chidambaram Stadium, Chepauk"
ST Jayasuriya,Chennai Super Kings,20,"MA Chidambaram Stadium, Chepauk"
A Symonds,Rajasthan Royals,117,"Rajiv Gandhi International Stadium, Uppal"
AC Gilchrist,Rajasthan Royals,13,"Rajiv Gandhi International Stadium, Uppal"
AS Yadav,Rajasthan Royals,16,"Rajiv Gandhi International Stadium, Uppal"
D Salunkhe,Deccan Chargers,1,"Rajiv Gandhi International Stadium, Uppal"
GC Smith,Deccan Chargers,71,"Rajiv Gandhi International Stadium, Uppal"
Kamran Akmal,Deccan Chargers,12,"Rajiv Gandhi International Stadium, Uppal"
M Kaif,Deccan Chargers,34,"Rajiv Gandhi International Stadium, Uppal"
Pankaj Singh,Deccan Chargers,4,"Rajiv Gandhi International Stadium, Uppal"
RA Jadeja,Deccan Chargers,1,"Rajiv Gandhi International Stadium, Uppal"
RG Sharma,Rajasthan Royals,36,"Rajiv Gandhi International Stadium, Uppal"
SK Warne,Deccan Chargers,22,"Rajiv Gandhi International Stadium, Uppal"
SR Watson,Deccan Chargers,4,"Rajiv Gandhi International Stadium, Uppal"
Shahid Afridi,Rajasthan Royals,10,"Rajiv Gandhi International Stadium, Uppal"
VVS Laxman,Rajasthan Royals,16,"Rajiv Gandhi International Stadium, Uppal"
